2020-09-21 17:14:11 status unpacked libcom-err2:amd64 1.44.1-1
2020-09-21 17:14:11 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2020-09-21 17:14:11 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-09-21 17:14:11 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-09-21 17:14:11 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-09-21 17:14:11 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2020-09-21 17:14:11 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2020-09-21 17:14:11 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-09-21 17:14:11 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-09-21 17:14:11 install libext2fs2:amd64 <none> 1.44.1-1
2020-09-21 17:14:11 status half-installed libext2fs2:amd64 1.44.1-1
2020-09-21 17:14:11 status unpacked libext2fs2:amd64 1.44.1-1
2020-09-21 17:14:11 status unpacked libext2fs2:amd64 1.44.1-1
2020-09-21 17:14:11 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2020-09-21 17:14:11 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:11 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:11 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:11 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2020-09-21 17:14:11 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2020-09-21 17:14:11 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-09-21 17:14:11 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-09-21 17:14:11 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2020-09-21 17:14:11 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2020-09-21 17:14:12 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-09-21 17:14:12 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-09-21 17:14:12 install libgpg-error0:amd64 <none> 1.27-6
2020-09-21 17:14:12 status half-installed libgpg-error0:amd64 1.27-6
2020-09-21 17:14:12 status unpacked libgpg-error0:amd64 1.27-6
2020-09-21 17:14:12 status unpacked libgpg-error0:amd64 1.27-6
2020-09-21 17:14:12 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2020-09-21 17:14:12 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2020-09-21 17:14:12 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-09-21 17:14:12 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-09-21 17:14:12 install liblzma5:amd64 <none> 5.2.2-1.3
2020-09-21 17:14:12 status half-installed liblzma5:amd64 5.2.2-1.3
2020-09-21 17:14:12 status unpacked liblzma5:amd64 5.2.2-1.3
2020-09-21 17:14:12 status unpacked liblzma5:amd64 5.2.2-1.3
2020-09-21 17:14:12 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2020-09-21 17:14:12 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:12 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:12 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:12 install libncurses5:amd64 <none> 6.1-1ubuntu1
2020-09-21 17:14:12 status half-installed libncurses5:amd64 6.1-1ubuntu1
2020-09-21 17:14:12 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-09-21 17:14:12 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-09-21 17:14:12 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2020-09-21 17:14:12 status half-installed libncursesw5:amd64 6.1-1ubuntu1
2020-09-21 17:14:12 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2020-09-21 17:14:12 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2020-09-21 17:14:12 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2020-09-21 17:14:12 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:12 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:12 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:12 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2020-09-21 17:14:12 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2020-09-21 17:14:13 install libpcre3:amd64 <none> 2:8.39-9
2020-09-21 17:14:13 status half-installed libpcre3:amd64 2:8.39-9
2020-09-21 17:14:13 status unpacked libpcre3:amd64 2:8.39-9
2020-09-21 17:14:13 status unpacked libpcre3:amd64 2:8.39-9
2020-09-21 17:14:13 install libprocps6:amd64 <none> 2:3.3.12-3ubuntu1
2020-09-21 17:14:13 status half-installed libprocps6:amd64 2:3.3.12-3ubuntu1
2020-09-21 17:14:13 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2020-09-21 17:14:13 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2020-09-21 17:14:13 install libselinux1:amd64 <none> 2.7-2build2
2020-09-21 17:14:13 status half-installed libselinux1:amd64 2.7-2build2
2020-09-21 17:14:13 status unpacked libselinux1:amd64 2.7-2build2
2020-09-21 17:14:13 status unpacked libselinux1:amd64 2.7-2build2
2020-09-21 17:14:13 install libsemanage-common:all <none> 2.7-2build2
2020-09-21 17:14:13 status half-installed libsemanage-common:all 2.7-2build2
2020-09-21 17:14:13 status unpacked libsemanage-common:all 2.7-2build2
2020-09-21 17:14:13 status unpacked libsemanage-common:all 2.7-2build2
2020-09-21 17:14:13 install libsemanage1:amd64 <none> 2.7-2build2
2020-09-21 17:14:13 status half-installed libsemanage1:amd64 2.7-2build2
2020-09-21 17:14:13 status unpacked libsemanage1:amd64 2.7-2build2
2020-09-21 17:14:13 status unpacked libsemanage1:amd64 2.7-2build2
2020-09-21 17:14:13 install libsepol1:amd64 <none> 2.7-1
2020-09-21 17:14:13 status half-installed libsepol1:amd64 2.7-1
2020-09-21 17:14:13 status unpacked libsepol1:amd64 2.7-1
2020-09-21 17:14:13 status unpacked libsepol1:amd64 2.7-1
2020-09-21 17:14:13 install libsmartcols1:amd64 <none> 2.31.1-0.4ubuntu3
2020-09-21 17:14:13 status half-installed libsmartcols1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:13 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:13 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:13 install libss2:amd64 <none> 1.44.1-1
2020-09-21 17:14:13 status half-installed libss2:amd64 1.44.1-1
2020-09-21 17:14:13 status unpacked libss2:amd64 1.44.1-1
2020-09-21 17:14:13 status unpacked libss2:amd64 1.44.1-1
2020-09-21 17:14:13 install libsystemd0:amd64 <none> 237-3ubuntu10
2020-09-21 17:14:13 status half-installed libsystemd0:amd64 237-3ubuntu10
2020-09-21 17:14:13 status unpacked libsystemd0:amd64 237-3ubuntu10
2020-09-21 17:14:13 status unpacked libsystemd0:amd64 237-3ubuntu10
2020-09-21 17:14:13 install libtinfo5:amd64 <none> 6.1-1ubuntu1
2020-09-21 17:14:13 status half-installed libtinfo5:amd64 6.1-1ubuntu1
2020-09-21 17:14:14 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2020-09-21 17:14:14 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2020-09-21 17:14:14 install libudev1:amd64 <none> 237-3ubuntu10
2020-09-21 17:14:14 status half-installed libudev1:amd64 237-3ubuntu10
2020-09-21 17:14:14 status unpacked libudev1:amd64 237-3ubuntu10
2020-09-21 17:14:14 status unpacked libudev1:amd64 237-3ubuntu10
2020-09-21 17:14:14 install libuuid1:amd64 <none> 2.31.1-0.4ubuntu3
